"","x"
"596","2"
"597","5"
"598","3"
"599","3"
"600","4"
"601","5"
"602","5"
"603","1"
"604","5"
"605","3"
"606","2"
"607","3"
"608","1"
"609","4"
"610","4"
"611","4"
"612","2"
"613","4"
"614","4"
"615","1"
"616","3"
"617","3"
"618","5"
"619","3"
"620","1"
"621","2"
"622","5"
"623","5"
"624","4"
"625","4"
"626","5"
"627","5"
"628","4"
"629","2"
"630","5"
"631","5"
"632","5"
"633","4"
"634","3"
"635","3"
"636","2"
"637","3"
"638","4"
"639","4"
"640","4"
"641","4"
"642","2"
"643","2"
"644","3"
"645","1"
"646","1"
"647","3"
"648","4"
"649","3"
"650","3"
"651","3"
"652","5"
"653","3"
"654","3"
"655","5"
"656","4"
"657","5"
"658","4"
"659","5"
"660","3"
"661","4"
"662","2"
"663","5"
"664","4"
"665","3"
"666","3"
"667","1"
"668","4"
"669","2"
"670","5"
"671","5"
"672","4"
"673","5"
"674","5"
"675","3"
"676","3"
"677","5"
"678","2"
"679","1"
"680","2"
"681","4"
"682","4"
"683","5"
"684","5"
"685","5"
"686","3"
"687","2"
"688","3"
"689","4"
"690","4"
"691","5"
"692","4"
"693","5"
"694","3"
"695","3"
"696","5"
"697","3"
"698","5"
"699","4"
"700","5"
"701","5"
"702","3"
"703","2"
"704","4"
"705","5"
"706","3"
"707","3"
"708","5"
"709","5"
"710","3"
"711","2"
"712","5"
"713","5"
"714","2"
"715","5"
"716","3"
"717","4"
"718","5"
"719","1"
"720","2"
"721","5"
"722","2"
"723","5"
"724","5"
"725","3"
"726","5"
"727","4"
"728","4"
"729","1"
"730","5"
"731","4"
"732","3"
"733","4"
"734","3"
"735","5"
"736","5"
"737","2"
"738","5"
"739","5"
"740","5"
"741","3"
"742","3"
"743","1"
"744","5"
"745","5"
"746","4"
"747","5"
"748","5"
"749","5"
"750","5"
"751","1"
"752","4"
"753","4"
"754","4"
"755","5"
"756","4"
"757","1"
"758","4"
"759","5"
"760","4"
"761","5"
"762","5"
"763","4"
"764","2"
"765","5"
"766","5"
"767","3"
"768","4"
"769","3"
"770","5"
"771","4"
"772","5"
"773","4"
"774","4"
"775","4"
"776","2"
"777","5"
"778","5"
"779","3"
"780","2"
"781","4"
"782","2"
"783","4"
"784","2"
"785","4"
"786","5"
"787","2"
"788","1"
"789","4"
"790","5"
"791","5"
"792","5"
"793","2"
"794","5"
"795","2"
"796","3"
"797","4"
"798","3"
"799","5"
"800","3"
"801","5"
"802","5"
"803","2"
"804","5"
"805","4"
"806","3"
"807","2"
"808","4"
"809","4"
"810","4"
"811","5"
"812","4"
"813","3"
"814","3"
"815","5"
"816","3"
"817","3"
"818","2"
"819","3"
"820","5"
"821","2"
"822","3"
"823","2"
"824","4"
"825","3"
"826","5"
"827","5"
"828","2"
"829","4"
"830","5"
"831","4"
"832","4"
"833","4"
"834","5"
"835","5"
"836","5"
"837","4"
"838","1"
"839","4"
"840","3"
"841","5"
"842","4"
"843","4"
"844","2"
"845","2"
"846","5"
"847","4"
"848","3"
"849","5"
"850","5"
"851","4"
"852","3"
"853","5"
"854","5"
"855","1"
"856","5"
"857","5"
"858","3"
"859","3"
"860","1"
"861","3"
"862","5"
"863","4"
"864","1"
"865","4"
"866","1"
"867","3"
"868","5"
"869","5"
"870","5"
"871","2"
"872","5"
"873","3"
"874","3"
"875","3"
"876","2"
"877","3"
"878","1"
"879","2"
"880","4"
"881","1"
"882","4"
"883","2"
"884","3"
"885","4"
"886","3"
"887","5"
"888","4"
"889","1"
"890","3"
"891","3"
"892","2"
"893","5"
"894","5"
"895","5"
"896","4"
"897","4"
"898","4"
"899","2"
"900","4"
"901","1"
"902","2"
"903","4"
"904","5"
"905","5"
"906","3"
"907","1"
"908","3"
"909","5"
"910","2"
"911","3"
"912","3"
"913","3"
"914","3"
"915","5"
"916","4"
"917","3"
"918","4"
"919","2"
"920","4"
"921","1"
"922","5"
"923","5"
"924","5"
"925","4"
"926","1"
"927","4"
"928","2"
"929","4"
"930","4"
"931","3"
"932","4"
"933","3"
"934","5"
"935","3"
"936","3"
"937","4"
"938","3"
"939","4"
"940","3"
"941","4"
"942","4"
"943","5"
"944","1"
"945","2"
"946","5"
"947","4"
"948","4"
"949","4"
"950","4"
"951","5"
"952","5"
"953","2"
"954","3"
"955","3"
"956","3"
"957","2"
"958","5"
"959","3"
"960","2"
"961","4"
"962","4"
"963","4"
"964","3"
"965","2"
"966","2"
"967","4"
"968","5"
"969","3"
"970","3"
"971","5"
"972","3"
"973","3"
"974","5"
"975","5"
"976","2"
"977","3"
"978","3"
"979","3"
"980","4"
"981","1"
"982","4"
"983","5"
"984","5"
"985","4"
"986","5"
"987","2"
"988","5"
"989","5"
"990","5"
"991","5"
"992","3"
"993","5"
"994","5"
"995","1"
"996","4"
"997","2"
"998","5"
"999","5"
"1000","3"
"1001","5"
"1002","4"
"1003","2"
"1004","3"
"1005","2"
"1006","2"
"1007","5"
"1008","3"
"1009","5"
"1010","5"
"1011","1"
"1012","3"
"1013","4"
"1014","5"
"1015","5"
"1016","4"
"1017","5"
"1018","3"
"1019","4"
"1020","4"
"1021","4"
"1022","5"
"1023","5"
"1024","3"
"1025","3"
"1026","4"
"1027","5"
"1028","5"
"1029","4"
"1030","4"
"1031","5"
"1032","5"
"1033","3"
"1034","3"
"1035","5"
"1036","3"
"1037","3"
"1038","1"
"1039","5"
"1040","3"
"1041","1"
"1042","2"
"1043","4"
"1044","5"
"1045","5"
"1046","4"
"1047","5"
"1048","4"
"1049","5"
"1050","5"
"1051","4"
"1052","1"
"1053","5"
"1054","2"
"1055","1"
"1056","5"
"1057","4"
"1058","5"
"1059","1"
"1060","4"
"1061","3"
"1062","4"
"1063","5"
"1064","5"
"1065","2"
"1066","5"
"1067","3"
"1068","4"
"1069","5"
"1070","4"
"1071","5"
"1072","5"
"1073","3"
"1074","3"
"1075","4"
"1076","5"
"1077","3"
"1078","4"
"1079","3"
"1080","1"
"1081","4"
"1082","5"
"1083","3"
"1084","4"
"1085","4"
"1086","3"
"1087","5"
"1088","3"
"1089","3"
"1090","4"
"1091","1"
"1092","1"
"1093","5"
"1094","5"
"1095","4"
"1096","5"
"1097","5"
"1098","4"
"1099","5"
"1100","3"
"1101","5"
"1102","5"
"1103","3"
"1104","5"
"1105","2"
"1106","3"
"1107","4"
"1108","1"
"1109","4"
"1110","1"
"1111","5"
"1112","4"
"1113","2"
"1114","2"
"1115","4"
"1116","2"
"1117","1"
"1118","5"
"1119","4"
"1120","5"
"1121","5"
"1122","5"
"1123","4"
"1124","5"
"1125","4"
"1126","2"
"1127","5"
"1128","3"
"1129","5"
"1130","5"
"1131","5"
"1132","2"
"1133","4"
"1134","3"
"1135","5"
"1136","5"
"1137","5"
"1138","5"
"1139","2"
"1140","5"
"1141","2"
"1142","5"
"1143","4"
"1144","2"
"1145","4"
"1146","3"
"1147","4"
"1148","2"
"1149","1"
"1150","4"
"1151","5"
"1152","5"
"1153","5"
"1154","2"
"1155","5"
"1156","4"
"1157","2"
"1158","5"
"1159","5"
"1160","4"
"1161","3"
"1162","3"
"1163","5"
"1164","4"
"1165","5"
"1166","5"
"1167","3"
"1168","3"
"1169","4"
"1170","2"
"1171","5"
"1172","4"
"1173","4"
"1174","5"
"1175","3"
"1176","4"
"1177","5"
"1178","2"
"1179","4"
"1180","5"
"1181","4"
"1182","4"
"1183","2"
"1184","5"
"1185","3"
"1186","2"
"1187","2"
"1188","4"
"1189","1"
"1190","4"
"1191","5"
"1192","2"
"1193","4"
"1194","4"
"1195","3"
"1196","5"
"1197","4"
"1198","4"
"1199","4"
"1200","5"
"1201","4"
"1202","2"
"1203","4"
"1204","5"
"1205","3"
"1206","4"
"1207","5"
"1208","3"
"1209","3"
"1210","5"
"1211","5"
"1212","4"
"1213","3"
"1214","3"
"1215","4"
"1216","5"
"1217","5"
"1218","5"
"1219","5"
"1220","4"
"1221","4"
"1222","5"
"1223","3"
"1224","3"
"1225","4"
"1226","3"
"1227","2"
"1228","4"
"1229","5"
"1230","4"
"1231","4"
"1232","4"
"1233","5"
"1234","3"
"1235","2"
"1236","3"
"1237","4"
"1238","5"
"1239","4"
"1240","3"
"1241","2"
"1242","2"
"1243","3"
"1244","5"
"1245","4"
"1246","3"
"1247","3"
"1248","3"
"1249","5"
"1250","3"
"1251","1"
"1252","5"
"1253","5"
"1254","1"
"1255","2"
"1256","5"
"1257","2"
"1258","4"
"1259","5"
"1260","5"
"1261","5"
"1262","2"
"1263","5"
"1264","5"
"1265","3"
"1266","5"
"1267","3"
"1268","3"
"1269","5"
"1270","2"
"1271","4"
"1272","5"
"1273","3"
"1274","3"
"1275","5"
"1276","3"
"1277","4"
"1278","3"
"1279","4"
"1280","4"
"1281","5"
"1282","5"
"1283","5"
"1284","5"
"1285","5"
"1286","2"
"1287","4"
"1288","1"
"1289","4"
"1290","4"
"1291","5"
"1292","3"
"1293","5"
"1294","4"
"1295","3"
"1296","5"
"1297","3"
"1298","3"
"1299","5"
"1300","5"
"1301","4"
"1302","4"
"1303","4"
"1304","5"
"1305","5"
"1306","4"
"1307","3"
"1308","4"
"1309","2"
"1310","5"
"1311","4"
"1312","5"
"1313","5"
"1314","4"
"1315","5"
"1316","5"
"1317","4"
"1318","4"
"1319","3"
"1320","2"
"1321","4"
"1322","5"
"1323","5"
"1324","5"
"1325","4"
"1326","1"
"1327","5"
"1328","4"
"1329","3"
"1330","2"
"1331","3"
"1332","1"
"1333","5"
"1334","2"
"1335","4"
"1336","3"
"1337","5"
"1338","4"
"1339","5"
"1340","5"
"1341","3"
"1342","3"
"1343","3"
"1344","5"
"1345","4"
"1346","5"
"1347","5"
"1348","5"
"1349","3"
"1350","2"
"1351","4"
"1352","1"
"1353","5"
"1354","4"
"1355","1"
"1356","5"
"1357","5"
"1358","3"
"1359","3"
"1360","5"
"1361","3"
"1362","4"
"1363","2"
"1364","5"
"1365","1"
"1366","5"
"1367","5"
"1368","5"
"1369","5"
"1370","2"
"1371","1"
"1372","5"
"1373","4"
"1374","5"
"1375","4"
"1376","5"
"1377","3"
"1378","3"
"1379","5"
"1380","3"
"1381","5"
"1382","5"
"1383","5"
"1384","4"
"1385","2"
"1386","2"
"1387","4"
"1388","4"
"1389","4"
"1390","3"
"1391","5"
"1392","4"
"1393","4"
"1394","3"
"1395","5"
"1396","3"
"1397","5"
"1398","5"
"1399","4"
"1400","2"
"1401","5"
"1402","1"
"1403","5"
"1404","4"
"1405","5"
"1406","2"
"1407","5"
"1408","4"
"1409","5"
"1410","3"
"1411","2"
"1412","5"
"1413","1"
"1414","2"
"1415","3"
"1416","5"
"1417","5"
"1418","5"
"1419","5"
"1420","4"
"1421","3"
"1422","5"
"1423","5"
"1424","4"
"1425","4"
"1426","5"
"1427","3"
"1428","5"
"1429","5"
"1430","5"
"1431","2"
"1432","5"
"1433","4"
"1434","2"
"1435","3"
"1436","2"
"1437","2"
"1438","4"
"1439","3"
"1440","2"
"1441","3"
"1442","5"
"1443","5"
"1444","3"
"1445","4"
"1446","3"
"1447","5"
"1448","4"
"1449","5"
"1450","5"
"1451","5"
"1452","2"
"1453","4"
"1454","5"
"1455","2"
"1456","4"
"1457","4"
"1458","4"
"1459","4"
"1460","4"
"1461","5"
"1462","4"
"1463","5"
"1464","5"
"1465","4"
"1466","5"
"1467","2"
"1468","1"
"1469","5"
"1470","4"
"1471","3"
"1472","2"
"1473","2"
"1474","5"
"1475","2"
"1476","5"
"1477","4"
"1478","4"
"1479","5"
"1480","3"
"1481","3"
"1482","4"
"1483","4"
"1484","3"
"1485","5"
"1486","4"
"1487","1"
"1488","2"
"1489","4"
"1490","4"
"1491","2"
"1492","4"
"1493","4"
"1494","5"
"1495","5"
"1496","4"
"1497","4"
"1498","5"
"1499","1"
"1500","2"
"1501","5"
"1502","4"
"1503","3"
"1504","2"
"1505","3"
"1506","5"
"1507","5"
"1508","2"
"1509","5"
"1510","2"
"1511","5"
"1512","5"
"1513","5"
"1514","5"
"1515","2"
"1516","5"
"1517","3"
"1518","4"
"1519","4"
"1520","5"
"1521","2"
"1522","3"
"1523","5"
"1524","4"
"1525","3"
"1526","5"
"1527","5"
"1528","5"
"1529","5"
"1530","4"
"1531","2"
"1532","4"
"1533","2"
"1534","4"
"1535","5"
"1536","4"
"1537","5"
"1538","3"
"1539","5"
"1540","5"
"1541","2"
"1542","5"
"1543","4"
"1544","5"
"1545","3"
"1546","4"
"1547","2"
"1548","2"
"1549","1"
"1550","3"
"1551","3"
"1552","3"
"1553","4"
"1554","5"
"1555","5"
"1556","3"
"1557","4"
"1558","4"
"1559","5"
"1560","4"
"1561","4"
"1562","4"
"1563","4"
"1564","4"
"1565","5"
"1566","5"
"1567","4"
"1568","5"
"1569","5"
"1570","4"
"1571","4"
"1572","2"
"1573","4"
"1574","4"
"1575","4"
"1576","1"
"1577","5"
"1578","4"
"1579","5"
"1580","2"
"1581","5"
"1582","4"
"1583","3"
"1584","3"
"1585","3"
"1586","2"
"1587","3"
"1588","5"
"1589","4"
"1590","3"
"1591","5"
"1592","5"
"1593","4"
"1594","3"
"1595","1"
"1596","4"
"1597","3"
"1598","1"
"1599","5"
"1600","3"
"1601","4"
"1602","2"
"1603","3"
"1604","4"
"1605","4"
"1606","5"
"1607","2"
"1608","3"
"1609","5"
"1610","2"
"1611","2"
"1612","3"
"1613","5"
"1614","5"
"1615","3"
"1616","4"
"1617","4"
"1618","3"
"1619","3"
"1620","5"
"1621","5"
"1622","1"
"1623","4"
"1624","5"
"1625","5"
"1626","2"
"1627","3"
"1628","3"
"1629","5"
"1630","5"
"1631","4"
"1632","5"
"1633","4"
"1634","5"
"1635","1"
"1636","5"
"1637","4"
"1638","5"
"1639","5"
"1640","5"
"1641","4"
"1642","2"
"1643","5"
"1644","4"
"1645","5"
"1646","1"
"1647","3"
"1648","5"
"1649","1"
"1650","2"
"1651","5"
"1652","5"
"1653","4"
"1654","5"
"1655","5"
"1656","4"
"1657","4"
"1658","4"
"1659","5"
"1660","2"
"1661","5"
"1662","5"
"1663","5"
"1664","4"
"1665","4"
"1666","3"
"1667","3"
"1668","2"
"1669","3"
"1670","4"
"1671","2"
"1672","2"
"1673","5"
"1674","5"
"1675","5"
"1676","3"
"1677","4"
"1678","5"
"1679","4"
"1680","4"
"1681","5"
"1682","2"
"1683","3"
"1684","5"
"1685","3"
"1686","5"
"1687","5"
"1688","4"
"1689","5"
"1690","3"
"1691","5"
"1692","4"
"1693","4"
"1694","5"
"1695","5"
"1696","4"
"1697","3"
"1698","4"
"1699","3"
"1700","2"
"1701","3"
"1702","5"
"1703","4"
"1704","5"
"1705","5"
"1706","3"
"1707","5"
"1708","3"
"1709","1"
"1710","5"
"1711","3"
"1712","4"
"1713","5"
"1714","4"
"1715","4"
"1716","1"
"1717","4"
"1718","5"
"1719","5"
"1720","2"
"1721","5"
"1722","5"
"1723","5"
"1724","4"
"1725","3"
"1726","4"
"1727","5"
"1728","5"
"1729","4"
"1730","3"
"1731","2"
"1732","5"
"1733","5"
"1734","3"
"1735","1"
"1736","2"
"1737","3"
"1738","3"
"1739","5"
"1740","3"
"1741","5"
"1742","5"
"1743","4"
"1744","5"
"1745","2"
"1746","5"
"1747","3"
"1748","4"
"1749","4"
"1750","5"
"1751","2"
"1752","2"
"1753","2"
"1754","5"
"1755","2"
"1756","2"
"1757","5"
"1758","5"
"1759","5"
"1760","4"
"1761","2"
"1762","3"
"1763","2"
"1764","4"
"1765","2"
"1766","4"
"1767","3"
"1768","4"
"1769","1"
"1770","5"
"1771","4"
"1772","2"
"1773","4"
"1774","5"
"1775","3"
"1776","4"
"1777","5"
"1778","1"
"1779","4"
"1780","2"
"1781","1"
"1782","5"
"1783","5"
"1784","2"
"1785","4"
"1786","4"
"1787","1"
"1788","4"
"1789","5"
"1790","4"
"1791","2"
"1792","5"
"1793","5"
"1794","4"
"1795","3"
"1796","4"
"1797","1"
"1798","5"
"1799","5"
"1800","5"
"1801","4"
"1802","2"
"1803","2"
"1804","5"
"1805","3"
"1806","5"
"1807","5"
"1808","5"
"1809","3"
"1810","5"
"1811","2"
"1812","4"
"1813","1"
"1814","4"
"1815","1"
"1816","4"
"1817","4"
"1818","5"
"1819","2"
"1820","5"
"1821","2"
"1822","4"
"1823","2"
"1824","4"
"1825","5"
"1826","3"
"1827","4"
"1828","5"
"1829","4"
"1830","5"
"1831","4"
"1832","2"
"1833","2"
"1834","3"
"1835","2"
"1836","5"
"1837","4"
"1838","5"
"1839","3"
"1840","5"
"1841","3"
"1842","3"
"1843","3"
"1844","3"
"1845","5"
"1846","2"
"1847","2"
"1848","2"
"1849","4"
"1850","1"
"1851","3"
"1852","5"
"1853","5"
"1854","4"
"1855","4"
"1856","3"
"1857","5"
"1858","4"
"1859","3"
"1860","4"
"1861","5"
"1862","3"
"1863","4"
"1864","5"
"1865","3"
"1866","4"
"1867","2"
"1868","5"
"1869","5"
"1870","4"
"1871","4"
"1872","5"
"1873","3"
"1874","4"
"1875","3"
"1876","4"
"1877","1"
"1878","4"
"1879","5"
"1880","5"
"1881","5"
"1882","5"
"1883","5"
"1884","5"
"1885","5"
"1886","5"
"1887","5"
"1888","5"
"1889","5"
"1890","4"
"1891","5"
"1892","5"
"1893","5"
"1894","4"
"1895","3"
"1896","4"
"1897","2"
"1898","4"
"1899","4"
"1900","4"
"1901","3"
"1902","4"
"1903","2"
"1904","3"
"1905","4"
"1906","5"
"1907","5"
"1908","5"
"1909","5"
"1910","3"
"1911","4"
"1912","2"
"1913","4"
"1914","4"
"1915","3"
"1916","4"
"1917","5"
"1918","5"
"1919","2"
"1920","5"
"1921","4"
"1922","4"
"1923","5"
"1924","5"
"1925","4"
"1926","5"
"1927","2"
"1928","5"
"1929","4"
"1930","5"
"1931","4"
"1932","1"
"1933","4"
"1934","2"
"1935","4"
"1936","5"
"1937","5"
"1938","5"
"1939","2"
"1940","5"
"1941","3"
"1942","4"
"1943","2"
"1944","5"
"1945","5"
"1946","2"
"1947","5"
"1948","4"
"1949","5"
"1950","5"
"1951","4"
"1952","5"
"1953","2"
"1954","2"
"1955","5"
"1956","5"
"1957","2"
"1958","5"
"1959","4"
"1960","4"
"1961","4"
"1962","4"
"1963","4"
"1964","2"
"1965","3"
"1966","5"
"1967","5"
"1968","5"
"1969","5"
"1970","4"
"1971","3"
"1972","2"
"1973","2"
"1974","5"
"1975","5"
"1976","4"
"1977","5"
"1978","3"
"1979","3"
"1980","3"
"1981","2"
"1982","2"
"1983","4"
"1984","4"
"1985","5"
"1986","5"
"1987","3"
"1988","5"
"1989","5"
"1990","5"
"1991","2"
"1992","5"
"1993","5"
"1994","3"
"1995","5"
"1996","5"
"1997","5"
"1998","5"
"1999","5"
"2000","5"
"2001","4"
"2002","4"
"2003","5"
"2004","2"
"2005","2"
"2006","4"
"2007","3"
"2008","3"
"2009","2"
"2010","4"
"2011","2"
"2012","4"
"2013","3"
"2014","5"
"2015","5"
"2016","5"
"2017","5"
"2018","3"
"2019","2"
"2020","4"
"2021","5"
"2022","5"
"2023","5"
"2024","3"
"2025","4"
"2026","5"
"2027","4"
"2028","4"
"2029","4"
"2030","4"
"2031","5"
"2032","4"
"2033","3"
"2034","2"
"2035","4"
"2036","1"
"2037","4"
"2038","2"
"2039","2"
"2040","3"
"2041","1"
"2042","3"
"2043","5"
"2044","2"
"2045","5"
"2046","3"
"2047","4"
"2048","2"
"2049","5"
"2050","3"
"2051","3"
"2052","1"
"2053","5"
"2054","3"
"2055","5"
"2056","4"
"2057","3"
"2058","3"
"2059","3"
"2060","5"
"2061","2"
"2062","4"
"2063","3"
"2064","5"
"2065","2"
"2066","4"
"2067","3"
"2068","4"
"2069","2"
"2070","5"
"2071","3"
"2072","5"
"2073","4"
"2074","2"
"2075","1"
"2076","2"
"2077","3"
"2078","2"
"2079","2"
"2080","4"
"2081","4"
"2082","4"
"2083","4"
"2084","5"
"2085","4"
"2086","5"
"2087","1"
"2088","5"
"2089","5"
"2090","5"
"2091","4"
"2092","5"
"2093","1"
"2094","5"
"2095","5"
"2096","4"
"2097","4"
"2098","4"
"2099","3"
"2100","2"
"2101","1"
"2102","5"
"2103","3"
"2104","4"
"2105","2"
"2106","5"
"2107","5"
"2108","3"
"2109","5"
"2110","5"
"2111","5"
"2112","2"
"2113","5"
"2114","2"
"2115","4"
"2116","4"
"2117","2"
"2118","5"
"2119","4"
"2120","1"
"2121","2"
"2122","5"
"2123","4"
"2124","5"
"2125","5"
"2126","5"
"2127","4"
"2128","5"
"2129","5"
"2130","5"
"2131","5"
"2132","5"
"2133","5"
"2134","2"
"2135","5"
"2136","5"
"2137","5"
"2138","5"
"2139","4"
"2140","2"
"2141","5"
